	Density	Loading C	Loading Ion	Loading Pt	Mass atten.	Thickness	calc. GSV
328	0.6666666666666666	0.609	0.233	0.158	3.2253336265498884	15	13936.923489703133
329	0.6666666666666666	0.636	0.217	0.147	3.0168015682763665	15	13794.106834060207
330	0.6666666666666666	0.016	0.492	0.492	10.304482251279435	15	18785.196411159573
331	0.6673333333333332	0.151	0.425	0.425	8.893769369922353	15	17825.1372286633
332	0.666	0.253	0.373	0.373	7.82997076470615	15	17085.12349174403
333	0.666	0.333	0.333	0.333	6.999134255236303	15	16516.68027318923
334	0.6666666666666666	0.398	0.301	0.301	6.345988641898577	15	16074.156087881605
335	0.666	0.451	0.274	0.274	5.79657767714003	15	15693.912948985484
336	0.6666666666666666	0.496	0.252	0.252	5.337902177883073	15	15383.75127155952
337	0.6666666666666666	0.534	0.233	0.233	4.949211077009943	15	15117.549692941542
